datetime,open,high,low,close,volume
2023-09-12 00:02:40+02:00,25140.45,25140.45,25139.88,25139.88,0.00191
2023-09-12 00:02:41+02:00,25139.88,25139.88,25139.88,25139.88,0.0
2023-09-12 00:02:42+02:00,25143.65,25145.13,25141.1,25141.1,0.01227
2023-09-12 00:02:43+02:00,25141.86,25141.86,25140.75,25140.75,0.003
2023-09-12 00:02:44+02:00,25140.76,25140.76,25139.86,25139.86,0.06169
2023-09-12 00:02:45+02:00,25140.75,25141.82,25140.75,25141.82,0.0018
2023-09-12 00:02:46+02:00,25141.82,25141.82,25141.82,25141.82,0.0
2023-09-12 00:02:47+02:00,25141.8,25141.8,25141.8,25141.8,0.02422
2023-09-12 00:02:48+02:00,25141.8,25141.8,25141.8,25141.8,0.0004
2023-09-12 00:02:49+02:00,25141.8,25143.75,25141.8,25143.75,0.00584
2023-09-12 00:02:50+02:00,25143.75,25143.75,25143.75,25143.75,0.0
2023-09-12 00:02:51+02:00,25143.75,25143.82,25143.75,25143.82,0.00427
2023-09-12 00:02:52+02:00,25143.82,25143.82,25143.82,25143.82,0.0
2023-09-12 00:02:53+02:00,25143.82,25143.82,25143.82,25143.82,0.0
2023-09-12 00:02:54+02:00,25140.41,25140.41,25140.41,25140.41,0.02229
2023-09-12 00:02:55+02:00,25140.41,25140.41,25140.41,25140.41,0.0
2023-09-12 00:02:56+02:00,25141.82,25142.94,25141.82,25142.94,0.04144
2023-09-12 00:02:57+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:02:58+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:02:59+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:00+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:01+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:02+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:03+02:00,25140.41,25142.84,25140.41,25142.84,0.0102
2023-09-12 00:03:04+02:00,25142.84,25142.94,25142.84,25142.94,0.0064
2023-09-12 00:03:05+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:06+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:07+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:08+02:00,25142.94,25142.94,25142.94,25142.94,0.03175
2023-09-12 00:03:09+02:00,25142.94,25142.94,25142.94,25142.94,0.04052
2023-09-12 00:03:10+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:11+02:00,25140.41,25140.41,25140.41,25140.41,0.00188
2023-09-12 00:03:12+02:00,25140.41,25140.41,25140.41,25140.41,0.00261
2023-09-12 00:03:13+02:00,25140.41,25140.41,25140.41,25140.41,0.0
2023-09-12 00:03:14+02:00,25140.41,25140.41,25140.41,25140.41,0.0
2023-09-12 00:03:15+02:00,25140.41,25140.41,25140.41,25140.41,0.0
2023-09-12 00:03:16+02:00,25140.66,25142.94,25140.66,25142.94,0.03182
2023-09-12 00:03:17+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:18+02:00,25142.94,25142.94,25142.94,25142.94,0.01
2023-09-12 00:03:19+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:20+02:00,25142.94,25142.94,25142.94,25142.94,0.0
2023-09-12 00:03:21+02:00,25140.43,25140.43,25140.2,25140.2,0.02028
2023-09-12 00:03:22+02:00,25140.2,25140.2,25140.2,25140.2,0.0
2023-09-12 00:03:23+02:00,25140.2,25140.2,25140.2,25140.2,0.00084
2023-09-12 00:03:24+02:00,25140.2,25140.2,25140.2,25140.2,0.0
2023-09-12 00:03:25+02:00,25140.45,25142.5,25140.45,25142.5,0.01196
2023-09-12 00:03:26+02:00,25142.5,25142.5,25142.5,25142.5,0.0
2023-09-12 00:03:27+02:00,25142.5,25142.5,25142.5,25142.5,0.0
2023-09-12 00:03:28+02:00,25142.5,25142.5,25142.5,25142.5,0.0
2023-09-12 00:03:29+02:00,25142.5,25142.5,25142.5,25142.5,0.0
2023-09-12 00:03:30+02:00,25142.5,25142.5,25142.5,25142.5,0.0
2023-09-12 00:03:31+02:00,25140.2,25140.2,25139.86,25139.86,0.24579
2023-09-12 00:03:32+02:00,25139.86,25139.86,25139.86,25139.86,0.0
2023-09-12 00:03:33+02:00,25139.86,25139.86,25139.86,25139.86,0.0
2023-09-12 00:03:34+02:00,25139.86,25139.86,25139.86,25139.86,0.0
2023-09-12 00:03:35+02:00,25139.1,25139.1,25135.34,25135.34,0.88975
2023-09-12 00:03:36+02:00,25135.86,25138.99,25135.86,25138.99,0.0381
2023-09-12 00:03:37+02:00,25135.35,25135.35,25135.35,25135.35,0.003
